rLE,Xup,Yup,Xlo,Ylo,cl,cd,cm,cl_cd,alpha,status
0.01,0.3666318,0.2275,0.5000011,-0.155,306102400000000.0,-51295013000000.0,-55705055000000.0,0.0,5.0,1
0.01,0.3666318,0.2275,0.5000011,-0.0825,162925470000000.0,-27302189000000.0,-29649468000000.0,0.0,5.0,1
0.01,0.3666318,0.2275,0.5000011,-0.01,19748545000000.0,-3309355700000.0,-3593875800000.0,0.0,5.0,1
0.01,0.3666318,0.3,0.1,-0.3,-2.1354175,0.020281479,0.7693985,-105.28904,5.0,1
0.01,0.3666318,0.3,0.1,-0.2275,-2.0191925,0.020250846,0.75709474,-99.709045,5.0,1
0.01,0.3666318,0.3,0.1,-0.155,-1.8787476,0.054134447,0.7081094,-34.705215,5.0,1
0.01,0.3666318,0.3,0.1,-0.0825,-1.8912773,0.0721709,0.6527886,-26.20554,5.0,1
0.01,0.3666318,0.3,0.1,-0.01,-1.9766862,0.047796566,0.6358529,-41.35624,5.0,1
0.01,0.3666318,0.3,0.20000027,-0.3,-2.6860046,0.010455493,0.9701584,-256.8989,5.0,1
0.01,0.3666318,0.3,0.20000027,-0.2275,-2.1349394,0.020501181,0.7769122,-104.13738,5.0,1
0.01,0.3666318,0.3,0.20000027,-0.155,-1.9298508,0.024107166,0.72544926,-80.05299,5.0,1
0.01,0.3666318,0.3,0.20000027,-0.0825,-1.8495895,0.05743498,0.68328404,-32.20319,5.0,1
0.01,0.3666318,0.3,0.20000027,-0.01,-1.9636445,0.046523247,0.63520265,-42.207813,5.0,1
0.01,0.3666318,0.3,0.30000052,-0.3,-2.015442,0.14016694,0.6439738,-14.378868,5.0,1
0.01,0.3666318,0.3,0.30000052,-0.2275,-1.9349868,0.15369841,0.64806926,-12.589504,5.0,1
0.01,0.3666318,0.3,0.30000052,-0.155,-1.70223,0.10332979,0.58114415,-16.473759,5.0,1
0.01,0.3666318,0.3,0.30000052,-0.0825,-1.7277597,0.07517478,0.62267226,-22.983236,5.0,1
0.01,0.3666318,0.3,0.30000052,-0.01,-1.9172516,0.043605294,0.623935,-43.968323,5.0,1
0.01,0.3666318,0.3,0.4000008,-0.3,32.959835,-4.8545275,-9.089665,0.0,5.0,1
0.01,0.3666318,0.3,0.4000008,-0.2275,22.95148,-3.3368459,-6.6186175,0.0,5.0,1
0.01,0.3666318,0.3,0.4000008,-0.155,12.894789,-1.8980385,-3.798181,0.0,5.0,1
0.01,0.3666318,0.3,0.4000008,-0.0825,3.6497574,-0.28604782,-1.0024388,0.0,5.0,1
